usr;condition;sentence;f/s;duration;amplitude;num_f_s;duration_first_f_s;duration_last_f_s
004;va;1;f;266.30000000000001;0;16;266.30000000000001;166.80000000000001
004;va;1;f;183.30000000000001;0;16;266.30000000000001;166.80000000000001
004;va;1;f;282.5;0;16;266.30000000000001;166.80000000000001
004;va;1;f;184.0;0;16;266.30000000000001;166.80000000000001
004;va;1;f;149.09999999999999;0;16;266.30000000000001;166.80000000000001
004;va;1;f;183.69999999999999;0;16;266.30000000000001;166.80000000000001
004;va;1;f;133.59999999999999;0;16;266.30000000000001;166.80000000000001
004;va;1;f;183.59999999999999;0;16;266.30000000000001;166.80000000000001
004;va;1;f;166.5;0;16;266.30000000000001;166.80000000000001
004;va;1;f;214.90000000000001;0;16;266.30000000000001;166.80000000000001
004;va;1;f;200.09999999999999;0;16;266.30000000000001;166.80000000000001
004;va;1;f;149.19999999999999;0;16;266.30000000000001;166.80000000000001
004;va;1;f;115.90000000000001;0;16;266.30000000000001;166.80000000000001
004;va;1;f;183.40000000000001;0;16;266.30000000000001;166.80000000000001
004;va;1;f;100.3;0;16;266.30000000000001;166.80000000000001
004;va;1;f;166.80000000000001;0;16;266.30000000000001;166.80000000000001
004;va;1;s;66.5;5.926;18;66.5;115.9
004;va;1;s;50.9;1.328;18;66.5;115.9
004;va;1;s;117.5;4.915;18;66.5;115.9
004;va;1;s;50.6;4.784;18;66.5;115.9
004;va;1;s;82.8;-6.003;18;66.5;115.9
004;va;1;s;51.2;0.777;18;66.5;115.9
004;va;1;s;99.9;-9.86;18;66.5;115.9
004;va;1;s;83.9;6.938;18;66.5;115.9
004;va;1;s;49.8;4.135;18;66.5;115.9
004;va;1;s;99.9;5.331;18;66.5;115.9
004;va;1;s;81.9;5.275;18;66.5;115.9
004;va;1;s;49.6;3.736;18;66.5;115.9
004;va;1;s;85.0;7.028;18;66.5;115.9
004;va;1;s;99.6;3.957;18;66.5;115.9
004;va;1;s;133.4;-27.279;18;66.5;115.9
004;va;1;s;116.0;8.07;18;66.5;115.9
004;va;1;s;66.7;-1.642;18;66.5;115.9
004;va;1;s;115.9;6.542;18;66.5;115.9
004;va;2;f;383.80000000000001;0;11;383.80000000000001;532.5
004;va;2;f;115.8;0;11;383.80000000000001;532.5
004;va;2;f;150.40000000000001;0;11;383.80000000000001;532.5
004;va;2;f;132.5;0;11;383.80000000000001;532.5
004;va;2;f;232.59999999999999;0;11;383.80000000000001;532.5
004;va;2;f;132.90000000000001;0;11;383.80000000000001;532.5
004;va;2;f;166.09999999999999;0;11;383.80000000000001;532.5
004;va;2;f;182.80000000000001;0;11;383.80000000000001;532.5
004;va;2;f;99.299999999999997;0;11;383.80000000000001;532.5
004;va;2;f;166.5;0;11;383.80000000000001;532.5
004;va;2;f;532.5;0;11;383.80000000000001;532.5
004;va;2;s;50.6;-1.269;17;50.6;66.3
004;va;2;s;117.4;8.983;17;50.6;66.3
004;va;2;s;83.5;3.649;17;50.6;66.3
004;va;2;s;216.8;9.337;17;50.6;66.3
004;va;2;s;49.3;-1.768;17;50.6;66.3
004;va;2;s;49.5;-1.131;17;50.6;66.3
004;va;2;s;49.0;1.173;17;50.6;66.3
004;va;2;s;116.7;7.79;17;50.6;66.3
004;va;2;s;117.6;4.638;17;50.6;66.3
004;va;2;s;134.5;5.391;17;50.6;66.3
004;va;2;s;151.0;-22.142;17;50.6;66.3
004;va;2;s;66.8;-2.493;17;50.6;66.3
004;va;2;s;99.8;4.999;17;50.6;66.3
004;va;2;s;50.9;-2.226;17;50.6;66.3
004;va;2;s;49.1;-1.552;17;50.6;66.3
