usr;condition;sentence;f/s;duration;amplitude;num_f_s;duration_first_f_s;duration_last_f_s
004;vs;1;f;317.1;0;13;317.1;84.0
004;vs;1;f;199.7;0;13;317.1;84.0
004;vs;1;f;82.4;0;13;317.1;84.0
004;vs;1;f;151.4;0;13;317.1;84.0
004;vs;1;f;149.1;0;13;317.1;84.0
004;vs;1;f;84.0;0;13;317.1;84.0
004;vs;1;f;132.7;0;13;317.1;84.0
004;vs;1;f;117.3;0;13;317.1;84.0
004;vs;1;f;132.8;0;13;317.1;84.0
004;vs;1;f;99.9;0;13;317.1;84.0
004;vs;1;f;116.1;0;13;317.1;84.0
004;vs;1;f;248.7;0;13;317.1;84.0
004;vs;1;f;84.0;0;13;317.1;84.0
004;vs;1;s;66.8;-3.216;12;66.8;83.8
004;vs;1;s;134.2;6.988;12;66.8;83.8
004;vs;1;s;100.0;5.203;12;66.8;83.8
004;vs;1;s;133.4;7.154;12;66.8;83.8
004;vs;1;s;50.7;-1.597;12;66.8;83.8
004;vs;1;s;133.5;8.702;12;66.8;83.8
004;vs;1;s;82.8;5.199;12;66.8;83.8
004;vs;1;s;66.7;2.676;12;66.8;83.8
004;vs;1;s;50.6;0.541;12;66.8;83.8
004;vs;1;s;117.7;-22.499;12;66.8;83.8
004;vs;1;s;66.7;-1.598;12;66.8;83.8
004;vs;1;s;83.8;3.175;12;66.8;83.8
004;vs;2;f;366.5;0;8;366.5;666.7
004;vs;2;f;233.4;0;8;366.5;666.7
004;vs;2;f;199.4;0;8;366.5;666.7
004;vs;2;f;183.5;0;8;366.5;666.7
004;vs;2;f;183.5;0;8;366.5;666.7
004;vs;2;f;148.8;0;8;366.5;666.7
004;vs;2;f;432.4;0;8;366.5;666.7
004;vs;2;f;666.7;0;8;366.5;666.7
004;vs;2;s;133.1;5.962;14;133.1;49.3
004;vs;2;s;50.8;4.507;14;133.1;49.3
004;vs;2;s;66.4;4.338;14;133.1;49.3
004;vs;2;s;285.3;4.812;14;133.1;49.3
004;vs;2;s;67.5;4.161;14;133.1;49.3
004;vs;2;s;132.9;8.083;14;133.1;49.3
004;vs;2;s;84.0;4.577;14;133.1;49.3
004;vs;2;s;66.8;2.699;14;133.1;49.3
004;vs;2;s;50.6;-10.514;14;133.1;49.3
004;vs;2;s;83.7;-8.671;14;133.1;49.3
004;vs;2;s;66.6;-3.381;14;133.1;49.3
004;vs;2;s;82.7;7.003;14;133.1;49.3
004;vs;2;s;149.4;4.388;14;133.1;49.3
004;vs;2;s;49.3;0.653;14;133.1;49.3
004;vs;3;f;266.5;0;17;266.5;815.5
