usr;condition;sentence;f/s;duration;amplitude;num_f_s;duration_first_f_s;duration_last_f_s;amp_first_s;amp_last_s;num_reg;num_prog
017;va;1;f;149.80000000000001;0;11;149.80000000000001;183.40000000000001;0;0;0;0
017;va;1;f;133.90000000000001;0;11;149.80000000000001;183.40000000000001;0;0;0;0
017;va;1;f;133.09999999999999;0;11;149.80000000000001;183.40000000000001;0;0;0;0
017;va;1;f;317.60000000000002;0;11;149.80000000000001;183.40000000000001;0;0;0;0
017;va;1;f;116.2;0;11;149.80000000000001;183.40000000000001;0;0;0;0
017;va;1;f;82.700000000000003;0;11;149.80000000000001;183.40000000000001;0;0;0;0
017;va;1;f;316.60000000000002;0;11;149.80000000000001;183.40000000000001;0;0;0;0
017;va;1;f;215.80000000000001;0;11;149.80000000000001;183.40000000000001;0;0;0;0
017;va;1;f;797.5;0;11;149.80000000000001;183.40000000000001;0;0;0;0
017;va;1;f;182.90000000000001;0;11;149.80000000000001;183.40000000000001;0;0;0;0
017;va;1;f;183.40000000000001;0;11;149.80000000000001;183.40000000000001;0;0;0;0
017;va;1;s;49.2;1.956;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;82.9;-4.665;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;50.5;6.233;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;48.9;1.897;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;49.4;2.199;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;66.9;4.075;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;82.9;-3.383;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;100.1;12.667;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;133.2;8.258;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;67.6;5.412;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;49.9;-14.768;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;66.2;-4.122;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;50.6;0.955;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;49.5;-0.86;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;51.8;0.744;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;83.7;-1.533;17;49.2;66.7;1.956;-1.775;7;10
017;va;1;s;66.7;-1.775;17;49.2;66.7;1.956;-1.775;7;10
017;va;2;f;316.0;0;18;316.0;100.5;0;0;0;0
017;va;2;f;116.59999999999999;0;18;316.0;100.5;0;0;0;0
017;va;2;f;165.40000000000001;0;18;316.0;100.5;0;0;0;0
017;va;2;f;433.5;0;18;316.0;100.5;0;0;0;0
017;va;2;f;150.09999999999999;0;18;316.0;100.5;0;0;0;0
017;va;2;f;433.0;0;18;316.0;100.5;0;0;0;0
017;va;2;f;133.0;0;18;316.0;100.5;0;0;0;0
017;va;2;f;349.10000000000002;0;18;316.0;100.5;0;0;0;0
017;va;2;f;233.5;0;18;316.0;100.5;0;0;0;0
017;va;2;f;99.400000000000006;0;18;316.0;100.5;0;0;0;0
017;va;2;f;233.69999999999999;0;18;316.0;100.5;0;0;0;0
017;va;2;f;83.299999999999997;0;18;316.0;100.5;0;0;0;0
017;va;2;f;82.799999999999997;0;18;316.0;100.5;0;0;0;0
017;va;2;f;166.69999999999999;0;18;316.0;100.5;0;0;0;0
017;va;2;f;149.30000000000001;0;18;316.0;100.5;0;0;0;0
017;va;2;f;116.7;0;18;316.0;100.5;0;0;0;0
017;va;2;f;216.09999999999999;0;18;316.0;100.5;0;0;0;0
017;va;2;f;100.5;0;18;316.0;100.5;0;0;0;0
017;va;2;s;150.2;-20.109;20;150.2;49.7;-20.109;-2.572;7;13
017;va;2;s;66.7;-3.672;20;150.2;49.7;-20.109;-2.572;7;13
017;va;2;s;66.3;2.742;20;150.2;49.7;-20.109;-2.572;7;13
017;va;2;s;117.1;4.536;20;150.2;49.7;-20.109;-2.572;7;13
017;va;2;s;50.0;1.131;20;150.2;49.7;-20.109;-2.572;7;13
017;va;2;s;100.4;7.077;20;150.2;49.7;-20.109;-2.572;7;13
017;va;2;s;50.3;-1.048;20;150.2;49.7;-20.109;-2.572;7;13
017;va;2;s;49.9;-2.277;20;150.2;49.7;-20.109;-2.572;7;13
017;va;2;s;66.8;11.615;20;150.2;49.7;-20.109;-2.572;7;13
017;va;2;s;50.0;1.23;20;150.2;49.7;-20.109;-2.572;7;13
017;va;2;s;117.2;6.251;20;150.2;49.7;-20.109;-2.572;7;13
017;va;2;s;49.2;1.17;20;150.2;49.7;-20.109;-2.572;7;13
