usr;condition;sentence;f/s;duration;amplitude
020;vs;1;f;216.5;0
020;vs;1;f;150.7;0
020;vs;1;f;232.9;0
020;vs;1;f;83.4;0
020;vs;1;f;149.8;0
020;vs;1;f;216.0;0
020;vs;1;f;117.1;0
020;vs;1;f;133.1;0
020;vs;1;f;116.1;0
020;vs;1;f;199.8;0
020;vs;1;f;182.9;0
020;vs;1;f;216.1;0
020;vs;1;f;333.2;0
020;vs;1;f;349.1;0
020;vs;1;f;82.7;0
020;vs;1;f;649.0;0
020;vs;1;s;166.0;4.11
020;vs;1;s;50.1;0.723
020;vs;1;s;67.0;5.329
020;vs;1;s;50.6;2.507
020;vs;1;s;49.3;0.693
020;vs;1;s;67.1;8.945
020;vs;1;s;50.1;0.898
020;vs;1;s;66.5;6.267
020;vs;1;s;50.6;0.704
020;vs;1;s;50.0;2.711
020;vs;1;s;66.3;-2.138
020;vs;1;s;50.1;-0.867
020;vs;1;s;50.0;3.039
020;vs;1;s;49.6;2.356
020;vs;1;s;49.9;-0.738
020;vs;1;s;116.8;-21.383
020;vs;1;s;50.5;2.416
020;vs;1;s;50.2;1.511
020;vs;1;s;50.1;-7.336
020;vs;1;s;83.3;-5.907
020;vs;1;s;83.8;2.935
020;vs;1;s;116.8;1.235
020;vs;1;s;66.6;-7.311
020;vs;1;s;84.1;9.422
020;vs;2;f;333.1;0
020;vs;2;f;350.1;0
020;vs;2;f;482.9;0
020;vs;2;f;166.7;0
020;vs;2;f;416.8;0
020;vs;2;f;133.2;0
020;vs;2;f;82.5;0
020;vs;2;f;233.0;0
020;vs;2;f;99.8;0
020;vs;2;f;149.6;0
020;vs;2;f;232.2;0
020;vs;2;f;233.2;0
020;vs;2;f;183.6;0
020;vs;2;f;182.6;0
020;vs;2;f;82.8;0
020;vs;2;f;217.3;0
020;vs;2;f;167.7;0
020;vs;2;f;266.6;0
020;vs;2;f;84.0;0
020;vs;2;f;333.3;0
020;vs;2;f;199.8;0
020;vs;2;f;316.3;0
020;vs;2;f;166.6;0
020;vs;2;s;150.5;-16.807
020;vs;2;s;66.4;10.029
020;vs;2;s;132.9;7.87
020;vs;2;s;66.4;4.535
020;vs;2;s;66.7;-2.39
020;vs;2;s;50.4;-1.313
020;vs;2;s;149.4;9.804
020;vs;2;s;117.4;5.838
020;vs;2;s;66.6;-3.121
020;vs;2;s;50.5;-0.6
020;vs;2;s;66.4;-11.209
020;vs;2;s;49.8;-1.578
020;vs;2;s;383.6;4.312
020;vs;2;s;284.4;-4.025
020;vs;2;s;50.4;2.604
020;vs;2;s;50.5;1.452
020;vs;2;s;149.5;-13.872
020;vs;2;s;83.8;-5.054
020;vs;2;s;49.4;7.731
020;vs;2;s;50.2;-0.792
020;vs;2;s;82.8;10.053
020;vs;2;s;49.3;-1.472
020;vs;2;s;133.4;-15.561
020;vs;2;s;116.8;-2.458
020;vs;2;s;66.5;2.39
020;vs;2;s;49.5;-0.707
020;vs;2;s;49.3;0.512
020;vs;3;f;0;0;0;0
020;vs;3;s;0;0;0
020;vs;4;f;150.7;0
020;vs;4;f;548.7;0
020;vs;4;f;117.1;0
020;vs;4;f;99.9;0
020;vs;4;f;498.7;0
020;vs;4;f;99.9;0
020;vs;4;f;99.6;0
020;vs;4;f;183.0;0
020;vs;4;f;182.7;0
020;vs;4;s;49.0;-1.219
020;vs;4;s;50.7;-1.528
020;vs;4;s;66.5;-3.668
020;vs;4;s;133.6;-9.372
020;vs;4;s;50.1;1.045
020;vs;4;s;67.6;-2.232
020;vs;4;s;117.4;-11.993
020;vs;4;s;3395.7;-4.627
020;vs;4;s;149.4;8.392
020;vs;4;s;51.2;1.658
020;vs;4;s;116.4;4.952
020;vs;5;f;150.2;0
020;vs;5;f;216.4;0
020;vs;5;f;266.5;0
020;vs;5;f;133.1;0
020;vs;5;f;380.7;0
020;vs;5;f;168.3;0
020;vs;5;f;166.6;0
020;vs;5;f;116.4;0
020;vs;5;f;132.4;0
020;vs;5;f;116.2;0
020;vs;5;f;133.0;0
020;vs;5;f;132.8;0
020;vs;5;f;183.9;0
