usr;condition;sentence;f/s;duration;amplitude;num_f_s;duration_first_f_s;duration_last_f_s;amp_first_s;amp_last_s;num_reg;num_prog
022;vs;1;f;149.19999999999999;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;116.8;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;166.5;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;183.90000000000001;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;132.90000000000001;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;183.0;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;100.2;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;166.59999999999999;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;283.30000000000001;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;183.09999999999999;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;83.900000000000006;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;82.5;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;183.0;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;183.09999999999999;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;166.40000000000001;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;114.7;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;99.0;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;100.0;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;f;216.5;0;19;149.19999999999999;216.5;0;0;0;0
022;vs;1;s;132.9;-19.347;19;132.9;150.7;-19.347;-21.954;6;13
022;vs;1;s;49.8;-1.884;19;132.9;150.7;-19.347;-21.954;6;13
022;vs;1;s;83.7;3.206;19;132.9;150.7;-19.347;-21.954;6;13
022;vs;1;s;83.2;6.341;19;132.9;150.7;-19.347;-21.954;6;13
022;vs;1;s;82.8;7.085;19;132.9;150.7;-19.347;-21.954;6;13
