usr;condition;sentence;f/s;duration;amplitude
027;va;1;f;215.9;0
027;va;1;f;117.8;0
027;va;1;f;165.7;0
027;va;1;f;82.6;0
027;va;1;f;84.1;0
027;va;1;f;266.1;0
027;va;1;f;217.3;0
027;va;1;f;182.3;0
027;va;1;f;414.9;0
027;va;1;f;215.7;0
027;va;1;f;117.1;0
027;va;1;f;83.8;0
027;va;1;f;182.7;0
027;va;1;f;149.5;0
027;va;1;f;233.1;0
027;va;1;f;215.4;0
027;va;1;f;82.8;0
027;va;1;f;199.8;0
027;va;1;f;116.8;0
027;va;1;f;516.9;0
027;va;1;f;182.8;0
027;va;1;f;217.1;0
027;va;1;s;66.2;-2.249
027;va;1;s;50.6;2.16
027;va;1;s;50.7;0.558
027;va;1;s;66.2;1.635
027;va;1;s;50.8;1.084
027;va;1;s;134.3;4.77
027;va;1;s;150.7;-8.466
027;va;1;s;49.4;-2.25
027;va;1;s;49.5;-0.234
027;va;1;s;49.6;0.421
027;va;1;s;49.4;1.309
027;va;1;s;48.9;-1.064
027;va;1;s;66.0;1.355
027;va;1;s;50.4;1.324
027;va;1;s;133.8;2.356
027;va;1;s;66.6;1.512
027;va;1;s;66.4;1.619
027;va;1;s;50.4;0.44
027;va;1;s;66.6;2.957
027;va;1;s;50.5;0.477
027;va;1;s;66.3;1.791
027;va;1;s;49.3;1.082
027;va;1;s;82.7;4.154
027;va;1;s;66.6;-12.411
027;va;1;s;50.7;-0.737
027;va;1;s;49.0;-1.957
027;va;1;s;133.7;4.459
027;va;1;s;83.9;-1.633
027;va;1;s;66.6;1.307
027;va;1;s;49.6;1.066
027;va;1;s;66.6;-2.974
027;va;2;f;0;0
027;va;2;s;0;0
027;va;3;f;233.3;0
027;va;3;f;100.0;0
027;va;3;f;100.2;0
027;va;3;f;198.9;0
027;va;3;f;99.1;0
027;va;3;f;83.8;0
027;va;3;f;216.2;0
027;va;3;f;382.8;0
027;va;3;f;232.7;0
027;va;3;f;166.7;0
027;va;3;f;215.6;0
027;va;3;f;265.9;0
027;va;3;f;233.4;0
027;va;3;f;133.4;0
027;va;3;s;149.0;6.733
027;va;3;s;50.5;-0.646
027;va;3;s;82.7;4.677
027;va;3;s;67.7;1.268
027;va;3;s;49.6;0.245
027;va;3;s;133.5;5.107
027;va;3;s;49.6;-0.87
027;va;3;s;83.9;4.456
027;va;3;s;50.2;-0.702
027;va;3;s;118.2;3.123
027;va;3;s;100.4;-13.235
027;va;3;s;49.1;0.581
027;va;3;s;133.7;11.204
027;va;3;s;49.9;-10.962
027;va;3;s;66.4;-1.058
027;va;3;s;50.4;0.902
027;va;4;f;150.5;0
027;va;4;f;199.9;0
027;va;4;f;99.9;0
027;va;4;f;183.4;0
027;va;4;f;166.7;0
027;va;4;f;166.5;0
027;va;4;f;81.3;0
027;va;4;f;282.4;0
027;va;4;f;166.5;0
027;va;4;f;199.9;0
027;va;4;f;166.4;0
027;va;4;f;115.7;0
027;va;4;f;233.5;0
027;va;4;f;198.2;0
027;va;4;f;266.6;0
027;va;4;f;184.0;0
027;va;4;s;66.9;0.918
027;va;4;s;84.2;-2.142
027;va;4;s;50.6;1.825
027;va;4;s;116.5;7.211
027;va;4;s;49.3;-0.891
027;va;4;s;101.1;4.05
027;va;4;s;84.1;3.49
027;va;4;s;100.1;5.128
027;va;4;s;49.5;-0.843
027;va;4;s;133.0;5.577
027;va;4;s;67.2;-13.533
027;va;4;s;66.7;-0.224
027;va;4;s;66.7;2.793
027;va;4;s;50.9;0.684
027;va;5;f;132.8;0
027;va;5;f;132.9;0
027;va;5;f;233.6;0
027;va;5;f;149.4;0
027;va;5;f;183.8;0
027;va;5;f;82.5;0
027;va;5;f;98.5;0
027;va;5;f;116.0;0
